local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
41,41,41,1,0.013616397976875305,71.19205298013244,430,604
73,41,41,1,0.013743432238698006,70.0,385,550
51,41,41,1,0.014088570140302181,66.97860962566845,501,748
74,41,41,1,0.012361615896224976,72.28260869565217,399,552
3,41,41,1,0.013409516774117947,74.6588693957115,383,513
18,41,41,1,0.014218890108168125,70.09174311926606,382,545
29,41,41,1,0.016909195110201836,65.92082616179002,383,581
62,41,41,1,0.014827665872871876,69.41391941391942,379,546
53,41,41,1,0.014198328368365765,66.34460547504025,412,621
89,41,41,1,0.014411299489438534,63.47569955817378,431,679
44,41,41,1,0.0152062326669693,70.18867924528301,372,530
42,41,41,1,0.013490062206983566,76.06112054329371,448,589
22,41,41,1,0.013195991516113281,72.44525547445255,397,548
6,41,41,1,0.015587951987981796,74.16918429003022,491,662
0,41,41,1,0.01298158336430788,71.24394184168013,441,619
32,41,41,1,0.015400092117488384,69.65065502183407,319,458
64,41,41,1,0.014846475794911385,66.12685560053981,490,741
35,41,41,1,0.015507765114307404,62.88998357963875,383,609
85,41,41,1,0.01441139169037342,69.6969696969697,414,594
78,41,41,1,0.014797820709645748,65.64516129032259,407,620
55,41,41,1,0.014708628877997398,70.50243111831442,435,617
88,41,41,1,0.012586611323058605,73.08917197452229,459,628
90,41,41,1,0.0128302788361907,72.77882797731569,385,529
84,41,41,1,0.01266032550483942,71.85929648241206,429,597
70,41,41,1,0.013503463007509708,68.7007874015748,349,508
69,41,41,1,0.013424831442534924,69.24428822495607,394,569
12,41,41,1,0.011002696119248867,76.31027253668763,364,477
46,41,41,1,0.013381792232394218,71.90542420027816,517,719
97,41,41,1,0.01356974896043539,66.34429400386847,343,517
21,41,41,1,0.014776447787880898,70.27863777089783,454,646
86,41,41,1,0.01594017632305622,59.940652818991104,404,674
26,41,41,1,0.013286076486110687,70.07874015748031,445,635
5,41,41,1,0.01444170530885458,68.93203883495146,355,515
95,41,41,1,0.012488801032304764,65.75520833333334,505,768
75,41,41,1,0.013992872089147568,71.77242888402627,328,457
59,41,41,1,0.012718806974589825,75.86805555555556,437,576
25,41,41,1,0.012694360688328743,71.20343839541547,497,698
60,41,41,1,0.013237185776233673,72.3935389133627,493,681
39,41,41,1,0.01526005007326603,64.80331262939958,313,483
33,41,41,1,0.01502561941742897,69.23076923076923,423,611
58,41,41,1,0.012576484121382236,73.1811697574893,513,701
94,41,41,1,0.01404537819325924,68.65464632454923,495,721
67,41,41,1,0.015627389773726463,64.51612903225806,400,620
38,41,41,1,0.012843046337366104,71.9205298013245,543,755
