0,      2.271365,       22.760000
1,      2.168051,       25.719999
2,      2.042352,       28.240000
3,      1.961853,       30.009998
4,      1.914813,       31.730000
5,      1.878196,       32.770000
6,      1.842409,       34.160000
7,      1.804079,       35.549999
8,      1.764705,       36.809998
9,      1.727006,       38.099998
10,     1.690932,       39.160000
11,     1.658657,       39.860001
12,     1.630112,       40.910000
13,     1.605717,       41.930000
14,     1.583085,       42.789997
15,     1.564075,       43.529999
16,     1.546450,       44.209999
17,     1.530979,       44.829998
18,     1.519690,       45.230000
19,     1.508951,       45.480000
20,     1.498742,       45.849998
21,     1.489847,       46.139999
22,     1.480912,       46.539997
23,     1.473079,       46.689999
24,     1.465825,       46.919998
25,     1.458220,       47.329998
26,     1.451483,       47.680000
27,     1.444621,       47.849998
28,     1.437487,       48.129997
29,     1.431092,       48.399998

